,id,symbol,period,interval,start_at,open_time,volume,open,high,low,close,turnover
17934,60497660,SANDUSDT,30,30,1650308400,1650308400,294313,2.7189,2.7479,2.7171,2.7317,803962.5664
17935,60505403,SANDUSDT,30,30,1650310200,1650310200,218662,2.7317,2.7317,2.7141,2.7271,595734.0436
17936,60513032,SANDUSDT,30,30,1650312000,1650312000,232296,2.7271,2.755,2.7271,2.749,637157.0184
17937,60520952,SANDUSDT,30,30,1650313800,1650313800,130166,2.749,2.7613,2.7471,2.7597,358609.6498
17938,60528930,SANDUSDT,30,30,1650315600,1650315600,308546,2.7597,2.7775,2.7555,2.7643,854005.5089
17939,60536567,SANDUSDT,30,30,1650317400,1650317400,142405,2.7643,2.7701,2.7535,2.7579,393094.3959
17940,60544355,SANDUSDT,30,30,1650319200,1650319200,81305,2.7579,2.7624,2.7516,2.7541,224058.5819
17941,60552272,SANDUSDT,30,30,1650321000,1650321000,89460,2.7541,2.7554,2.7418,2.7547,245945.6859
17942,60559651,SANDUSDT,30,30,1650322800,1650322800,142114,2.7547,2.757,2.7435,2.7435,390787.5062
17943,60567422,SANDUSDT,30,30,1650324600,1650324600,88847,2.7435,2.7491,2.7367,2.7437,243658.8184
17944,60576348,SANDUSDT,30,30,1650326400,1650326400,332944,2.7437,2.7859,2.7423,2.767,921457.9798
17945,60583872,SANDUSDT,30,30,1650328200,1650328200,238940,2.767,2.7797,2.7549,2.757,661015.2202
17946,60591658,SANDUSDT,30,30,1650330000,1650330000,158490,2.757,2.7638,2.7499,2.7516,436888.1709
17947,60599277,SANDUSDT,30,30,1650331800,1650331800,335603,2.7516,2.7537,2.723,2.727,919391.9041
17948,60607288,SANDUSDT,30,30,1650333600,1650333600,365369,2.727,2.7316,2.7153,2.723,994876.9156
17949,60614627,SANDUSDT,30,30,1650335400,1650335400,146234,2.723,2.7249,2.7113,2.7202,397548.68
17950,60622527,SANDUSDT,30,30,1650337200,1650337200,286293,2.7202,2.739,2.7202,2.739,781815.4938
17951,60630200,SANDUSDT,30,30,1650339000,1650339000,272859,2.739,2.74,2.7206,2.7247,744112.0518
17952,60638178,SANDUSDT,30,30,1650340800,1650340800,69254,2.7247,2.7368,2.7216,2.732,189055.0275
17953,60645908,SANDUSDT,30,30,1650342600,1650342600,94393,2.732,2.7443,2.7313,2.7432,258449.4175
17954,60653476,SANDUSDT,30,30,1650344400,1650344400,45450,2.7432,2.7445,2.7304,2.7396,124410.7677
17955,60661093,SANDUSDT,30,30,1650346200,1650346200,24293,2.7396,2.7443,2.7305,2.7305,66481.0135
17956,60668961,SANDUSDT,30,30,1650348000,1650348000,55857,2.7305,2.7389,2.7288,2.7361,152583.4828
17957,60677024,SANDUSDT,30,30,1650349800,1650349800,150753,2.7361,2.7403,2.7213,2.7223,411550.1156
17958,60684679,SANDUSDT,30,30,1650351600,1650351600,111850,2.7223,2.7351,2.7174,2.7322,305247.9866
17959,60692454,SANDUSDT,30,30,1650353400,1650353400,59733,2.7322,2.7332,2.7214,2.7307,162858.7697
17960,60700171,SANDUSDT,30,30,1650355200,1650355200,475611,2.7307,2.7571,2.7268,2.7505,1305526.5303
17961,60707999,SANDUSDT,30,30,1650357000,1650357000,153154,2.7505,2.7595,2.7418,2.7418,421441.4737
17962,60715652,SANDUSDT,30,30,1650358800,1650358800,170705,2.7418,2.7475,2.725,2.7281,466935.63
17963,60723387,SANDUSDT,30,30,1650360600,1650360600,209542,2.7281,2.7396,2.725,2.7372,572061.1711
17964,60731349,SANDUSDT,30,30,1650362400,1650362400,2445236,2.7372,2.8774,2.7348,2.8181,6900652.3795
17965,60739041,SANDUSDT,30,30,1650364200,1650364200,1476879,2.8181,2.9445,2.8111,2.9274,4249114.4759
17966,60746681,SANDUSDT,30,30,1650366000,1650366000,2727593,2.9274,2.9939,2.9262,2.9593,8081176.9758
17967,60754403,SANDUSDT,30,30,1650367800,1650367800,1528198,2.9593,2.9693,2.9019,2.9135,4495701.7118
17968,60762553,SANDUSDT,30,30,1650369600,1650369600,901205,2.9135,2.9581,2.912,2.9478,2650090.2768
17969,60770415,SANDUSDT,30,30,1650371400,1650371400,324247,2.9478,2.9514,2.9217,2.935,952436.7984
17970,60777995,SANDUSDT,30,30,1650373200,1650373200,350415,2.935,2.9532,2.9224,2.9465,1028821.4618
17971,60785736,SANDUSDT,30,30,1650375000,1650375000,1065187,2.9465,2.9854,2.9404,2.9725,3156382.0934
17972,60793847,SANDUSDT,30,30,1650376800,1650376800,1343604,2.9725,3.0268,2.9695,2.9883,4031669.5472
17973,60801292,SANDUSDT,30,30,1650378600,1650378600,558601,2.9883,2.9944,2.9615,2.9638,1664537.3028
17974,60809063,SANDUSDT,30,30,1650380400,1650380400,845963,2.9638,3.0122,2.9566,2.973,2519753.4975
17975,60816845,SANDUSDT,30,30,1650382200,1650382200,509638,2.973,2.9744,2.9416,2.9536,1505022.8014
17976,60824444,SANDUSDT,30,30,1650384000,1650384000,425782,2.9536,2.9825,2.949,2.9722,1263659.9748
17977,60832404,SANDUSDT,30,30,1650385800,1650385800,775394,2.9722,2.9794,2.9022,2.9052,2274602.7409
17978,60840042,SANDUSDT,30,30,1650387600,1650387600,262020,2.9052,2.9269,2.9052,2.9138,764219.6043
17979,60847762,SANDUSDT,30,30,1650389400,1650389400,105085,2.9138,2.931,2.9138,2.9248,307317.4055
17980,60856224,SANDUSDT,30,30,1650391200,1650391200,231984,2.9248,2.926,2.905,2.9253,676533.729
17981,60863532,SANDUSDT,30,30,1650393000,1650393000,333916,2.9253,2.9303,2.8835,2.8942,968385.3707
17982,60871187,SANDUSDT,30,30,1650394800,1650394800,188654,2.8942,2.9089,2.8883,2.9053,546569.2735
17983,60878967,SANDUSDT,30,30,1650396600,1650396600,205486,2.9053,2.9053,2.8924,2.8979,595659.0064
